competition,season,rank,squad
Fußball-Bundesliga,2014-2015,6,Schalke 04
Fußball-Bundesliga,2014-2015,7,Dortmund
Fußball-Bundesliga,2014-2015,8,Hoffenheim
Fußball-Bundesliga,2014-2015,9,Eint Frankfurt
Fußball-Bundesliga,2014-2015,10,Werder Bremen
Fußball-Bundesliga,2014-2015,11,Mainz 05
Fußball-Bundesliga,2014-2015,12,Köln
Fußball-Bundesliga,2014-2015,13,Hannover 96
Fußball-Bundesliga,2014-2015,14,Stuttgart
Fußball-Bundesliga,2014-2015,15,Hertha BSC
Fußball-Bundesliga,2014-2015,16,Hamburger SV
Fußball-Bundesliga,2014-2015,17,Freiburg
Fußball-Bundesliga,2014-2015,18,Paderborn 07
Fußball-Bundesliga,2015-2016,1,Bayern Munich
Fußball-Bundesliga,2015-2016,2,Dortmund
Fußball-Bundesliga,2015-2016,3,Leverkusen
Fußball-Bundesliga,2015-2016,4,M'Gladbach
Fußball-Bundesliga,2015-2016,5,Schalke 04
Fußball-Bundesliga,2015-2016,6,Mainz 05
Fußball-Bundesliga,2015-2016,7,Hertha BSC
Fußball-Bundesliga,2015-2016,8,Wolfsburg
Fußball-Bundesliga,2015-2016,9,Köln
Fußball-Bundesliga,2015-2016,10,Hamburger SV
Fußball-Bundesliga,2015-2016,11,Ingolstadt 04
Fußball-Bundesliga,2015-2016,12,Augsburg
Fußball-Bundesliga,2015-2016,13,Werder Bremen
Fußball-Bundesliga,2015-2016,14,Darmstadt 98
Fußball-Bundesliga,2015-2016,15,Hoffenheim
Fußball-Bundesliga,2015-2016,16,Eint Frankfurt
Fußball-Bundesliga,2015-2016,17,Stuttgart
Fußball-Bundesliga,2015-2016,18,Hannover 96
Fußball-Bundesliga,2016-2017,1,Bayern Munich
Fußball-Bundesliga,2016-2017,2,RB Leipzig
Fußball-Bundesliga,2016-2017,3,Dortmund
Fußball-Bundesliga,2016-2017,4,Hoffenheim
Fußball-Bundesliga,2016-2017,5,Köln
Fußball-Bundesliga,2016-2017,6,Hertha BSC
Fußball-Bundesliga,2016-2017,7,Freiburg
Fußball-Bundesliga,2016-2017,8,Werder Bremen
Fußball-Bundesliga,2016-2017,9,M'Gladbach
Fußball-Bundesliga,2016-2017,10,Schalke 04
Fußball-Bundesliga,2016-2017,11,Eint Frankfurt
Fußball-Bundesliga,2016-2017,12,Leverkusen
Fußball-Bundesliga,2016-2017,13,Augsburg
Fußball-Bundesliga,2016-2017,14,Hamburger SV
Fußball-Bundesliga,2016-2017,15,Mainz 05
Fußball-Bundesliga,2016-2017,16,Wolfsburg
Fußball-Bundesliga,2016-2017,17,Ingolstadt 04
Fußball-Bundesliga,2016-2017,18,Darmstadt 98
Fußball-Bundesliga,2017-2018,1,Bayern Munich
Fußball-Bundesliga,2017-2018,2,Schalke 04
Fußball-Bundesliga,2017-2018,3,Hoffenheim
Fußball-Bundesliga,2017-2018,4,Dortmund
Fußball-Bundesliga,2017-2018,5,Leverkusen
Fußball-Bundesliga,2017-2018,6,RB Leipzig
Fußball-Bundesliga,2017-2018,7,Stuttgart
Fußball-Bundesliga,2017-2018,8,Eint Frankfurt
Fußball-Bundesliga,2017-2018,9,M'Gladbach
Fußball-Bundesliga,2017-2018,10,Hertha BSC
Fußball-Bundesliga,2017-2018,11,Werder Bremen
Fußball-Bundesliga,2017-2018,12,Augsburg
Fußball-Bundesliga,2017-2018,13,Hannover 96
Fußball-Bundesliga,2017-2018,14,Mainz 05
Fußball-Bundesliga,2017-2018,15,Freiburg
Fußball-Bundesliga,2017-2018,16,Wolfsburg
Fußball-Bundesliga,2017-2018,17,Hamburger SV
Fußball-Bundesliga,2017-2018,18,Köln
Fußball-Bundesliga,2018-2019,1,Bayern Munich
Fußball-Bundesliga,2018-2019,2,Dortmund
Fußball-Bundesliga,2018-2019,3,RB Leipzig
Fußball-Bundesliga,2018-2019,4,Leverkusen
Fußball-Bundesliga,2018-2019,5,M'Gladbach
Fußball-Bundesliga,2018-2019,6,Wolfsburg
Fußball-Bundesliga,2018-2019,7,Eint Frankfurt
Fußball-Bundesliga,2018-2019,8,Werder Bremen
Fußball-Bundesliga,2018-2019,9,Hoffenheim
Fußball-Bundesliga,2018-2019,10,Düsseldorf
Fußball-Bundesliga,2018-2019,11,Hertha BSC
Fußball-Bundesliga,2018-2019,12,Mainz 05
Fußball-Bundesliga,2018-2019,13,Freiburg
Fußball-Bundesliga,2018-2019,14,Schalke 04
Fußball-Bundesliga,2018-2019,15,Augsburg
Fußball-Bundesliga,2018-2019,16,Stuttgart
Fußball-Bundesliga,2018-2019,17,Hannover 96
Fußball-Bundesliga,2018-2019,18,Nürnberg
Fußball-Bundesliga,2019-2020,1,Bayern Munich
Fußball-Bundesliga,2019-2020,2,Dortmund
Fußball-Bundesliga,2019-2020,3,RB Leipzig
Fußball-Bundesliga,2019-2020,4,M'Gladbach
Fußball-Bundesliga,2019-2020,5,Leverkusen
Fußball-Bundesliga,2019-2020,6,Hoffenheim
Fußball-Bundesliga,2019-2020,7,Wolfsburg
Fußball-Bundesliga,2019-2020,8,Freiburg
Fußball-Bundesliga,2019-2020,9,Eint Frankfurt
Fußball-Bundesliga,2019-2020,10,Hertha BSC
Fußball-Bundesliga,2019-2020,11,Union Berlin
Fußball-Bundesliga,2019-2020,12,Schalke 04
Fußball-Bundesliga,2019-2020,13,Mainz 05
Fußball-Bundesliga,2019-2020,14,Köln
Fußball-Bundesliga,2019-2020,15,Augsburg
Fußball-Bundesliga,2019-2020,16,Werder Bremen
Fußball-Bundesliga,2019-2020,17,Düsseldorf
Fußball-Bundesliga,2019-2020,18,Paderborn 07
Fußball-Bundesliga,2020-2021,1,Bayern Munich
Fußball-Bundesliga,2020-2021,2,RB Leipzig
Fußball-Bundesliga,2020-2021,3,Dortmund
Fußball-Bundesliga,2020-2021,4,Wolfsburg
Fußball-Bundesliga,2020-2021,5,Eint Frankfurt
Fußball-Bundesliga,2020-2021,6,Leverkusen
Fußball-Bundesliga,2020-2021,7,Union Berlin
Fußball-Bundesliga,2020-2021,8,M'Gladbach
Fußball-Bundesliga,2020-2021,9,Stuttgart
Fußball-Bundesliga,2020-2021,10,Freiburg
Fußball-Bundesliga,2020-2021,11,Hoffenheim
Fußball-Bundesliga,2020-2021,12,Mainz 05
Fußball-Bundesliga,2020-2021,13,Augsburg
Fußball-Bundesliga,2020-2021,14,Hertha BSC
Fußball-Bundesliga,2020-2021,15,Arminia
Fußball-Bundesliga,2020-2021,16,Köln
Fußball-Bundesliga,2020-2021,17,Werder Bremen
Fußball-Bundesliga,2020-2021,18,Schalke 04
Serie A,2010-2011,1,Milan
Serie A,2010-2011,2,Inter
Serie A,2010-2011,3,Napoli
Serie A,2010-2011,4,Udinese
Serie A,2010-2011,5,Lazio
Serie A,2010-2011,6,Roma
Serie A,2010-2011,7,Juventus
Serie A,2010-2011,8,Palermo
Serie A,2010-2011,9,Fiorentina
Serie A,2010-2011,10,Genoa
Serie A,2010-2011,11,Chievo
Serie A,2010-2011,12,Parma
Serie A,2010-2011,13,Catania
Serie A,2010-2011,14,Cagliari
Serie A,2010-2011,15,Cesena
Serie A,2010-2011,16,Bologna
Serie A,2010-2011,17,Lecce
Serie A,2010-2011,18,Sampdoria
Serie A,2010-2011,19,Brescia
Serie A,2010-2011,20,Bari
Serie A,2011-2012,1,Juventus
Serie A,2011-2012,2,Milan
Serie A,2011-2012,3,Udinese
Serie A,2011-2012,4,Lazio
Serie A,2011-2012,5,Napoli
Serie A,2011-2012,6,Inter
Serie A,2011-2012,7,Roma
Serie A,2011-2012,8,Parma
Serie A,2011-2012,9,Bologna
Serie A,2011-2012,10,Chievo
Serie A,2011-2012,11,Catania
Serie A,2011-2012,12,Atalanta
Serie A,2011-2012,13,Fiorentina
Serie A,2011-2012,14,Siena
Serie A,2011-2012,15,Cagliari
Serie A,2011-2012,16,Palermo
Serie A,2011-2012,17,Genoa
Serie A,2011-2012,18,Lecce
Serie A,2011-2012,19,Novara
Serie A,2011-2012,20,Cesena
Serie A,2012-2013,1,Juventus
Serie A,2012-2013,2,Napoli
Serie A,2012-2013,3,Milan
Serie A,2012-2013,4,Fiorentina
Serie A,2012-2013,5,Udinese
Serie A,2012-2013,6,Roma
Serie A,2012-2013,7,Lazio
Serie A,2012-2013,8,Catania
Serie A,2012-2013,9,Inter
Serie A,2012-2013,10,Parma
Serie A,2012-2013,11,Cagliari
Serie A,2012-2013,12,Chievo
Serie A,2012-2013,13,Bologna
Serie A,2012-2013,14,Sampdoria
Serie A,2012-2013,15,Atalanta
Serie A,2012-2013,16,Torino
Serie A,2012-2013,17,Genoa
Serie A,2012-2013,18,Palermo
Serie A,2012-2013,19,Siena
Serie A,2012-2013,20,Pescara
Serie A,2013-2014,1,Juventus
Serie A,2013-2014,2,Roma
Serie A,2013-2014,3,Napoli
Serie A,2013-2014,4,Fiorentina
Serie A,2013-2014,5,Inter
Serie A,2013-2014,6,Parma
Serie A,2013-2014,7,Torino
Serie A,2013-2014,8,Milan
Serie A,2013-2014,9,Lazio
Serie A,2013-2014,10,Hellas Verona
Serie A,2013-2014,11,Atalanta
Serie A,2013-2014,12,Sampdoria
Serie A,2013-2014,13,Udinese
Serie A,2013-2014,14,Genoa
Serie A,2013-2014,15,Cagliari
Serie A,2013-2014,16,Chievo
Serie A,2013-2014,17,Sassuolo
Serie A,2013-2014,18,Catania
Serie A,2013-2014,19,Bologna
Serie A,2013-2014,20,Livorno
Serie A,2014-2015,1,Juventus
Serie A,2014-2015,2,Roma
Serie A,2014-2015,3,Lazio
Serie A,2014-2015,4,Fiorentina
Serie A,2014-2015,5,Napoli
Serie A,2014-2015,6,Genoa
Serie A,2014-2015,7,Sampdoria
Serie A,2014-2015,8,Inter
Serie A,2014-2015,9,Torino
Serie A,2014-2015,10,Milan
Serie A,2014-2015,11,Palermo
Serie A,2014-2015,12,Sassuolo
Serie A,2014-2015,13,Hellas Verona
Serie A,2014-2015,14,Chievo
Serie A,2014-2015,15,Empoli
Serie A,2014-2015,16,Udinese
Serie A,2014-2015,17,Atalanta
Serie A,2014-2015,18,Cagliari
Serie A,2014-2015,19,Cesena
Serie A,2014-2015,20,Parma
Serie A,2015-2016,1,Juventus
Serie A,2015-2016,2,Napoli
Serie A,2015-2016,3,Roma
Serie A,2015-2016,4,Inter
Serie A,2015-2016,5,Fiorentina
Serie A,2015-2016,6,Sassuolo
Serie A,2015-2016,7,Milan
Serie A,2015-2016,8,Lazio
Serie A,2015-2016,9,Chievo
Serie A,2015-2016,10,Empoli
Serie A,2015-2016,11,Genoa
Serie A,2015-2016,12,Torino
Serie A,2015-2016,13,Atalanta
Serie A,2015-2016,14,Bologna
Serie A,2015-2016,15,Sampdoria
Serie A,2015-2016,16,Palermo
Serie A,2015-2016,17,Udinese
Serie A,2015-2016,18,Carpi
Serie A,2015-2016,19,Frosinone
Serie A,2015-2016,20,Hellas Verona
Serie A,2016-2017,1,Juventus
Serie A,2016-2017,2,Roma
Serie A,2016-2017,3,Napoli
Serie A,2016-2017,4,Atalanta
Serie A,2016-2017,5,Lazio
Serie A,2016-2017,6,Milan
Serie A,2016-2017,7,Inter
Serie A,2016-2017,8,Fiorentina
Serie A,2016-2017,9,Torino
Serie A,2016-2017,10,Sampdoria
Serie A,2016-2017,11,Cagliari
Serie A,2016-2017,12,Sassuolo
Serie A,2016-2017,13,Udinese
Serie A,2016-2017,14,Chievo
Serie A,2016-2017,15,Bologna
Serie A,2016-2017,16,Genoa
Serie A,2016-2017,17,Crotone
Serie A,2016-2017,18,Empoli
Serie A,2016-2017,19,Palermo
Serie A,2016-2017,20,Pescara
Serie A,2017-2018,1,Juventus
Serie A,2017-2018,2,Napoli
Serie A,2017-2018,3,Roma
Serie A,2017-2018,4,Inter
Serie A,2017-2018,5,Lazio
Serie A,2017-2018,6,Milan
Serie A,2017-2018,7,Atalanta
Serie A,2017-2018,8,Fiorentina
Serie A,2017-2018,9,Torino
Serie A,2017-2018,10,Sampdoria
Serie A,2017-2018,11,Sassuolo
Serie A,2017-2018,12,Genoa
Serie A,2017-2018,13,Chievo
Serie A,2017-2018,14,Udinese
Serie A,2017-2018,15,Bologna
Serie A,2017-2018,16,Cagliari
Serie A,2017-2018,17,SPAL
Serie A,2017-2018,18,Crotone
Serie A,2017-2018,19,Hellas Verona
Serie A,2017-2018,20,Benevento
Serie A,2018-2019,1,Juventus
Serie A,2018-2019,2,Napoli
Serie A,2018-2019,3,Atalanta
Serie A,2018-2019,4,Inter
Serie A,2018-2019,5,Milan
Serie A,2018-2019,6,Roma
Serie A,2018-2019,7,Torino
Serie A,2018-2019,8,Lazio
Serie A,2018-2019,9,Sampdoria
Serie A,2018-2019,10,Bologna
Serie A,2018-2019,11,Sassuolo
Serie A,2018-2019,12,Udinese
Serie A,2018-2019,13,SPAL
Serie A,2018-2019,14,Parma
Serie A,2018-2019,15,Cagliari
Serie A,2018-2019,16,Fiorentina
Serie A,2018-2019,17,Genoa
Serie A,2018-2019,18,Empoli
Serie A,2018-2019,19,Frosinone
Serie A,2018-2019,20,Chievo
Serie A,2019-2020,1,Juventus
Serie A,2019-2020,2,Inter
Serie A,2019-2020,3,Atalanta
Serie A,2019-2020,4,Lazio
Serie A,2019-2020,5,Roma
Serie A,2019-2020,6,Milan
Serie A,2019-2020,7,Napoli
Serie A,2019-2020,8,Sassuolo
Serie A,2019-2020,9,Hellas Verona
Serie A,2019-2020,10,Fiorentina
Serie A,2019-2020,11,Parma
Serie A,2019-2020,12,Bologna
Serie A,2019-2020,13,Udinese
Serie A,2019-2020,14,Cagliari
Serie A,2019-2020,15,Sampdoria
Serie A,2019-2020,16,Torino
Serie A,2019-2020,17,Genoa
Serie A,2019-2020,18,Lecce
Serie A,2019-2020,19,Brescia
Serie A,2019-2020,20,SPAL
Serie A,2020-2021,1,Inter
Serie A,2020-2021,2,Milan
Serie A,2020-2021,3,Atalanta
Serie A,2020-2021,4,Juventus
Serie A,2020-2021,5,Napoli
Serie A,2020-2021,6,Lazio
Serie A,2020-2021,7,Roma
Serie A,2020-2021,8,Sassuolo
Serie A,2020-2021,9,Sampdoria
Serie A,2020-2021,10,Hellas Verona
Serie A,2020-2021,11,Genoa
Serie A,2020-2021,12,Bologna
Serie A,2020-2021,13,Fiorentina
Serie A,2020-2021,14,Udinese
Serie A,2020-2021,15,Spezia
Serie A,2020-2021,16,Cagliari
Serie A,2020-2021,17,Torino
Serie A,2020-2021,18,Benevento
Serie A,2020-2021,19,Crotone
Serie A,2020-2021,20,Parma
La Liga,2010-2011,1,Barcelona
La Liga,2010-2011,2,Real Madrid
La Liga,2010-2011,3,Valencia
La Liga,2010-2011,4,Villarreal
La Liga,2010-2011,5,Sevilla
La Liga,2010-2011,6,Athletic Club
La Liga,2010-2011,7,Atlético Madrid
La Liga,2010-2011,8,Espanyol
La Liga,2010-2011,9,Osasuna
La Liga,2010-2011,10,Sporting Gijón
La Liga,2010-2011,11,Málaga
La Liga,2010-2011,12,Racing Sant
La Liga,2010-2011,13,Zaragoza
La Liga,2010-2011,14,Levante
La Liga,2010-2011,15,Real Sociedad
La Liga,2010-2011,16,Getafe
La Liga,2010-2011,17,Mallorca
La Liga,2010-2011,18,La Coruña
La Liga,2010-2011,19,Hércules
La Liga,2010-2011,20,Almería
La Liga,2011-2012,1,Real Madrid
La Liga,2011-2012,2,Barcelona
La Liga,2011-2012,3,Valencia
La Liga,2011-2012,4,Málaga
La Liga,2011-2012,5,Atlético Madrid
La Liga,2011-2012,6,Levante
La Liga,2011-2012,7,Osasuna
La Liga,2011-2012,8,Mallorca
La Liga,2011-2012,9,Sevilla
La Liga,2011-2012,10,Athletic Club
La Liga,2011-2012,11,Getafe
La Liga,2011-2012,12,Real Sociedad
La Liga,2011-2012,13,Betis
La Liga,2011-2012,14,Espanyol
La Liga,2011-2012,15,Rayo Vallecano
La Liga,2011-2012,16,Zaragoza
La Liga,2011-2012,17,Granada
La Liga,2011-2012,18,Villarreal
La Liga,2011-2012,19,Sporting Gijón
La Liga,2011-2012,20,Racing Sant
La Liga,2012-2013,1,Barcelona
La Liga,2012-2013,2,Real Madrid
La Liga,2012-2013,3,Atlético Madrid
La Liga,2012-2013,4,Real Sociedad
La Liga,2012-2013,5,Valencia
La Liga,2012-2013,6,Málaga
La Liga,2012-2013,7,Betis
La Liga,2012-2013,8,Rayo Vallecano
La Liga,2012-2013,9,Sevilla
La Liga,2012-2013,10,Getafe
La Liga,2012-2013,11,Levante
La Liga,2012-2013,12,Athletic Club
La Liga,2012-2013,13,Espanyol
La Liga,2012-2013,14,Valladolid
La Liga,2012-2013,15,Granada
La Liga,2012-2013,16,Osasuna
La Liga,2012-2013,17,Celta Vigo
La Liga,2012-2013,18,Mallorca
La Liga,2012-2013,19,La Coruña
La Liga,2012-2013,20,Zaragoza
La Liga,2013-2014,1,Atlético Madrid
La Liga,2013-2014,2,Barcelona
La Liga,2013-2014,3,Real Madrid
La Liga,2013-2014,4,Athletic Club
La Liga,2013-2014,5,Sevilla
La Liga,2013-2014,6,Villarreal
La Liga,2013-2014,7,Real Sociedad
La Liga,2013-2014,8,Valencia
La Liga,2013-2014,9,Celta Vigo
La Liga,2013-2014,10,Levante
La Liga,2013-2014,11,Málaga
La Liga,2013-2014,12,Rayo Vallecano
La Liga,2013-2014,13,Getafe
La Liga,2013-2014,14,Espanyol
La Liga,2013-2014,15,Granada
La Liga,2013-2014,16,Elche
La Liga,2013-2014,17,Almería
La Liga,2013-2014,18,Osasuna
La Liga,2013-2014,19,Valladolid
La Liga,2013-2014,20,Betis
La Liga,2014-2015,1,Barcelona
La Liga,2014-2015,2,Real Madrid
La Liga,2014-2015,3,Atlético Madrid
La Liga,2014-2015,4,Valencia
La Liga,2014-2015,5,Sevilla
La Liga,2014-2015,6,Villarreal
La Liga,2014-2015,7,Athletic Club
La Liga,2014-2015,8,Celta Vigo
La Liga,2014-2015,9,Málaga
La Liga,2014-2015,10,Espanyol
La Liga,2014-2015,11,Rayo Vallecano
La Liga,2014-2015,12,Real Sociedad
La Liga,2014-2015,13,Elche
La Liga,2014-2015,14,Levante
La Liga,2014-2015,15,Getafe
La Liga,2014-2015,16,La Coruña
La Liga,2014-2015,17,Granada
La Liga,2014-2015,18,Eibar
La Liga,2014-2015,19,Almería
La Liga,2014-2015,20,Córdoba
La Liga,2015-2016,1,Barcelona
La Liga,2015-2016,2,Real Madrid
La Liga,2015-2016,3,Atlético Madrid
La Liga,2015-2016,4,Villarreal
La Liga,2015-2016,5,Athletic Club
La Liga,2015-2016,6,Celta Vigo
La Liga,2015-2016,7,Sevilla
La Liga,2015-2016,8,Málaga
La Liga,2015-2016,9,Real Sociedad
La Liga,2015-2016,10,Betis
La Liga,2015-2016,11,Las Palmas
La Liga,2015-2016,12,Valencia
La Liga,2015-2016,13,Espanyol
La Liga,2015-2016,14,Eibar
La Liga,2015-2016,15,La Coruña
La Liga,2015-2016,16,Granada
La Liga,2015-2016,17,Sporting Gijón
La Liga,2015-2016,18,Rayo Vallecano
La Liga,2015-2016,19,Getafe
La Liga,2015-2016,20,Levante
La Liga,2016-2017,1,Real Madrid
La Liga,2016-2017,2,Barcelona
La Liga,2016-2017,3,Atlético Madrid
La Liga,2016-2017,4,Sevilla
La Liga,2016-2017,5,Villarreal
La Liga,2016-2017,6,Real Sociedad
La Liga,2016-2017,7,Athletic Club
La Liga,2016-2017,8,Espanyol
La Liga,2016-2017,9,Alavés
La Liga,2016-2017,10,Eibar
La Liga,2016-2017,11,Málaga
La Liga,2016-2017,12,Valencia
La Liga,2016-2017,13,Celta Vigo
La Liga,2016-2017,14,Las Palmas
La Liga,2016-2017,15,Betis
La Liga,2016-2017,16,La Coruña
La Liga,2016-2017,17,Leganés
La Liga,2016-2017,18,Sporting Gijón
La Liga,2016-2017,19,Osasuna
La Liga,2016-2017,20,Granada
La Liga,2017-2018,1,Barcelona
La Liga,2017-2018,2,Atlético Madrid
La Liga,2017-2018,3,Real Madrid
La Liga,2017-2018,4,Valencia
La Liga,2017-2018,5,Villarreal
La Liga,2017-2018,6,Betis
La Liga,2017-2018,7,Sevilla
La Liga,2017-2018,8,Getafe
La Liga,2017-2018,9,Eibar
La Liga,2017-2018,10,Girona
La Liga,2017-2018,11,Espanyol
La Liga,2017-2018,12,Real Sociedad
La Liga,2017-2018,13,Celta Vigo
La Liga,2017-2018,14,Alavés
La Liga,2017-2018,15,Levante
La Liga,2017-2018,16,Athletic Club
La Liga,2017-2018,17,Leganés
La Liga,2017-2018,18,La Coruña
La Liga,2017-2018,19,Las Palmas
La Liga,2017-2018,20,Málaga
La Liga,2018-2019,1,Barcelona
La Liga,2018-2019,2,Atlético Madrid
La Liga,2018-2019,3,Real Madrid
La Liga,2018-2019,4,Valencia
La Liga,2018-2019,5,Getafe
La Liga,2018-2019,6,Sevilla
La Liga,2018-2019,7,Espanyol
La Liga,2018-2019,8,Athletic Club
La Liga,2018-2019,9,Real Sociedad
La Liga,2018-2019,10,Betis
La Liga,2018-2019,11,Alavés
La Liga,2018-2019,12,Eibar
La Liga,2018-2019,13,Leganés
La Liga,2018-2019,14,Villarreal
La Liga,2018-2019,15,Levante
La Liga,2018-2019,16,Valladolid
La Liga,2018-2019,17,Celta Vigo
La Liga,2018-2019,18,Girona
La Liga,2018-2019,19,Huesca
La Liga,2018-2019,20,Rayo Vallecano
La Liga,2019-2020,1,Real Madrid
La Liga,2019-2020,2,Barcelona
La Liga,2019-2020,3,Atlético Madrid
La Liga,2019-2020,4,Sevilla
La Liga,2019-2020,5,Villarreal
La Liga,2019-2020,6,Real Sociedad
La Liga,2019-2020,7,Granada
La Liga,2019-2020,8,Getafe
La Liga,2019-2020,9,Valencia
La Liga,2019-2020,10,Osasuna
La Liga,2019-2020,11,Athletic Club
La Liga,2019-2020,12,Levante
La Liga,2019-2020,13,Valladolid
La Liga,2019-2020,14,Eibar
La Liga,2019-2020,15,Betis
La Liga,2019-2020,16,Alavés
La Liga,2019-2020,17,Celta Vigo
La Liga,2019-2020,18,Leganés
La Liga,2019-2020,19,Mallorca
La Liga,2019-2020,20,Espanyol
La Liga,2020-2021,1,Atlético Madrid
La Liga,2020-2021,2,Real Madrid
La Liga,2020-2021,3,Barcelona
La Liga,2020-2021,4,Sevilla
La Liga,2020-2021,5,Real Sociedad
La Liga,2020-2021,6,Betis
La Liga,2020-2021,7,Villarreal
La Liga,2020-2021,8,Celta Vigo
La Liga,2020-2021,9,Granada
La Liga,2020-2021,10,Athletic Club
La Liga,2020-2021,11,Osasuna
La Liga,2020-2021,12,Cádiz
La Liga,2020-2021,13,Valencia
La Liga,2020-2021,14,Levante
La Liga,2020-2021,15,Getafe
La Liga,2020-2021,16,Alavés
La Liga,2020-2021,17,Elche
La Liga,2020-2021,18,Huesca
La Liga,2020-2021,19,Valladolid
La Liga,2020-2021,20,Eibar
